caller_number,receiver_number,date,time,duration_sec,call_type,tower_id,tower_lat,tower_long
+91-98204-XXXXX,+91-97543-XXXXX,2024-03-15,09:14:00,127,call,BOM-MTW-4421,19.1860,72.8480
+91-98204-XXXXX,+91-97543-XXXXX,2024-03-15,11:02:00,54,call,BOM-MTW-4421,19.1860,72.8480
+91-98204-XXXXX,+91-84930-XXXXX,2024-03-15,23:41:00,302,call,GOA-PNJ-0091,15.4909,73.8278
+91-98204-XXXXX,+91-84930-XXXXX,2024-03-16,08:55:00,0,sms,BOM-ANW-2201,19.1197,72.8464
+91-98204-XXXXX,+91-90012-XXXXX,2024-03-12,10:00:00,45,call,BOM-MTW-4421,19.1860,72.8480
+91-84930-XXXXX,+91-90012-XXXXX,2024-03-12,10:06:00,38,call,BOM-BDR-3310,19.0596,72.8295
+91-98204-XXXXX,+91-90012-XXXXX,2024-03-13,18:20:00,52,call,BOM-MTW-4421,19.1860,72.8480
+91-84930-XXXXX,+91-90012-XXXXX,2024-03-13,18:25:00,41,call,BOM-BDR-3310,19.0596,72.8295
+91-98204-XXXXX,+91-90012-XXXXX,2024-03-15,15:00:00,60,call,BOM-MTW-4421,19.1860,72.8480
+91-84930-XXXXX,+91-90012-XXXXX,2024-03-15,15:07:00,33,call,BOM-BDR-3310,19.0596,72.8295
